source_id,paper_title,response_type,queue_id,original_candidate_rank,original_candidate_type,original_candidate_label,original_candidate_page,audit_status,corrected_candidate_type,corrected_candidate_label,corrected_candidate_page,corrected_candidate_text,reason,needs_manual_visual_review,evidence_method
b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,DIG-b9536b7f-rate,1,figure,Fig. 2,8,keep,figure,Fig. 2,8,Fig. 2. Mean regeneration of injuries (expressed as a percentage of the original injury size) for injury type and species after 12 and 24 days. Error bars represent 1 SE.,Printed Fig. 2 caption is on the stated PDF page and directly reports regeneration percentage over 12 and 24 days.,false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,DIG-b9536b7f-rate,2,table,Table 3,10,replace,figure,Fig. 2,8,Fig. 2. Mean regeneration of injuries (expressed as a percentage of the original injury size) for injury type and species after 12 and 24 days. Error bars represent 1 SE.,"Printed Table 3 is on the stated page, but it reports tissue available for regeneration rather than regeneration rate; Fig. 2 is the better rate candidate.",false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,DIG-b9536b7f-rate,3,table,Table 4,11,keep,table,Table 4,11,"Table 4. A summary of the repeated measures analysis of covariance testing for differences in regeneration between A. hyacinthus and M. tuberculosa for breakage injuries (Between Subject Effects), and how these patterns change between censuses (Within Subject Effects) after the effect of amount of tissue available for regeneration (ATR) has been adjusted for.",Printed Table 4 caption is on the stated page and tests regeneration differences across censuses after adjustment.,false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,DIG-b9536b7f-rate,4,figure,Fig. 1,5,replace,figure,Fig. 2,8,Fig. 2. Mean regeneration of injuries (expressed as a percentage of the original injury size) for injury type and species after 12 and 24 days. Error bars represent 1 SE.,"Printed Fig. 1 is on the stated page but is a methods photograph of injury types, not a rate response; Fig. 2 is the better candidate.",false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,rate,DIG-b9536b7f-rate,5,table,Table 1,7,keep,table,Table 1,7,Table 1. Summary of the repeated measures ANOVA testing for differences in regeneration between species and injury types (Between Subject Effects) and how these patterns change between censuses (Within Subject Effects).,Printed Table 1 caption is on the stated page and summarizes repeated-measures tests of regeneration across censuses.,false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,DIG-33b7b9b2-rate,1,figure,Fig. 1,3,keep,figure,Fig. 1,3,Fig. 1. Lesion recovery of representative Porites porites and P. astreoides after 10 days under 2 pH conditions (C-8.1 and L-7.6) and for 2 fragment sizes (1 x 1 cm and 5 x 5 cm).,Printed Fig. 1 caption is on the stated page and shows lesion recovery after 10 days.,false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,DIG-33b7b9b2-rate,2,figure,Fig. 2,4,keep,figure,Fig. 2,4,"Fig. 2. Average percent lesion recovery (mean +/- SEM, n = 9) after 10 days for (A) Porites porites and (B) P. astreoides in low (L-7.6) and control (C-8.1) pH and two fragment sizes (1 x 1 cm and 5 x 5 cm).",Printed Fig. 2 caption is on the stated page and directly reports average percent lesion recovery.,false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,DIG-33b7b9b2-rate,3,figure,Fig. 3,4,replace,figure,Fig. 2,4,"Fig. 2. Average percent lesion recovery (mean +/- SEM, n = 9) after 10 days for (A) Porites porites and (B) P. astreoides in low (L-7.6) and control (C-8.1) pH and two fragment sizes (1 x 1 cm and 5 x 5 cm).","Printed Fig. 3 is on the stated page but reports zooxanthellae density, not lesion recovery; Fig. 2 is the better rate candidate.",false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,DIG-33b7b9b2-rate,4,figure,Fig. 5,5,replace,figure,Fig. 2,4,"Fig. 2. Average percent lesion recovery (mean +/- SEM, n = 9) after 10 days for (A) Porites porites and (B) P. astreoides in low (L-7.6) and control (C-8.1) pH and two fragment sizes (1 x 1 cm and 5 x 5 cm).","Printed Fig. 5 is on the stated page but reports protein per surface area, not lesion recovery; Fig. 2 is the better rate candidate.",false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,DIG-33b7b9b2-rate,5,figure,Fig. 4,5,replace,figure,Fig. 2,4,"Fig. 2. Average percent lesion recovery (mean +/- SEM, n = 9) after 10 days for (A) Porites porites and (B) P. astreoides in low (L-7.6) and control (C-8.1) pH and two fragment sizes (1 x 1 cm and 5 x 5 cm).","Printed Fig. 4 is on the stated page but reports chlorophyll, not lesion recovery; Fig. 2 is the better rate candidate.",false,pdftotext -layout/-raw on local PDF; candidate page and printed caption context checked
