source_id,paper_title,response_type,queue_id,original_candidate_rank,original_candidate_type,original_candidate_label,original_candidate_page,audit_status,corrected_candidate_type,corrected_candidate_label,corrected_candidate_page,corrected_candidate_text,reason,needs_manual_visual_review,evidence_method
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,DIG-635d9cb2-reproduction,1,figure,Figure 1,4,keep,figure,Figure 1,4,"Figure 1. Brood sizes of central versus marginal polyps in Favia fragum. Mean number of planulae per polyp based on five marginal polyps per colony and, depending upon colony size, up to five central polyps per colony; each point represents one colony. The diagonal line indicates equal brood size in marginal and central polyps.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,DIG-635d9cb2-reproduction,2,figure,Figure 3,5,keep,figure,Figure 3,5,"Figure 3. Fecundity gradient on horizontal surface of Siderastrea siderea. Gonad index: mean gonad length x frequency of gonads, based on two randomly chosen mesenteries per polyp in each of ten randomly chosen polyps at any given location relative to that in the center of the horizontal surface of the colony. Vertical bars represent standard errors; 0 is beginning of fertile zone and C is center of the horizontal surface.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,DIG-635d9cb2-reproduction,3,figure,Figure 5,6,keep,figure,Figure 5,6,Figure 5. Comparison of fecundity between the upper and the lower surfaces of Acropora palmata. Mean area fertility: mean number of fertile polyps per square centimeter; mean fertile polyp fecundity: mean number of eggs per fertile polyp. The diagonal line indicates equal numbers on both surfaces.,Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,DIG-635d9cb2-reproduction,4,figure,Figure 6,6,keep,figure,Figure 6,6,"Figure 6. Comparison of fecundity between vertical and horizontal surfaces of Siderastrea siderea. For each surface on each colony, relative gonad lengths and relative fecundity are plotted relative to the largest estimates in any colony.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,DIG-635d9cb2-reproduction,5,figure,Figure 2,4,keep,figure,Figure 2,4,"Figure 2. Fecundity of polyps within colonies of Siderastrea radians. Fecundity: mean number of eggs per polyp, based on five polyps per location in each colony. Penultimate polyp: row of polyps immediately adjacent to margin polyps. Difference significant among the three groups.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
292bbd72-e4b1-422c-8fbb-5b3201d2cd0c,Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,rate,DIG-292bbd72-rate,1,mention,unlabeled figure,3,replace,figure,unlabeled figure,3,"Regeneration of damaged colonies of the coral Porites lutea. A, one of the coral colonies used in the experiment; B, mechanically damaged colony after 1 month of exposure to moderate illumination; C, regeneration of the damaged colony after 3 months of exposure to moderate illumination in an aquarium; D, a completely recovered colony fragment after 6 months of maintenance at moderate illumination.","Printed unnumbered figure caption on the stated PDF page; original type was mention rather than figure. Relevant to recovery over time, but no numeric rate values are printed in the figure.",false,local_pdf_pdftotext_layout_page_match
b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,rate,DIG-b269f689-rate,1,figure,Fig. 1,5,keep,figure,Fig. 1,5,"Fig. 1. Regeneration and growth rates of inflicted injuries on fragments of the corals P. lutea and P. cylindrica under light intensity 30-70% PAR0 during winter, spring and summer periods. File, osmotic shock, cement, and Water-Pik injuries are compared; error bars represent mean +/- S.D.; inserts summarize statistical comparisons among recovery periods.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,rate,DIG-b269f689-rate,2,figure,Fig. 2,6,replace,figure,Fig. 1,5,"Fig. 1. Regeneration and growth rates of inflicted injuries on fragments of the corals P. lutea and P. cylindrica under light intensity 30-70% PAR0 during winter, spring and summer periods. File, osmotic shock, cement, and Water-Pik injuries are compared; error bars represent mean +/- S.D.; inserts summarize statistical comparisons among recovery periods.","Original Fig. 2 is a real printed caption, but it is a process/photo panel about bleaching, algal overgrowth, and impediments, not the rate data; Fig. 1 is the better rate candidate.",false,local_pdf_pdftotext_layout_page_match
b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,rate,DIG-b269f689-rate,3,figure,Fig. 3,11,keep,figure,Fig. 3,11,Fig. 3. Regeneration and growth rates of damaged tissue in fragments of the corals P. lutea and P. cylindrica at different irradiance during winter and spring periods. Error bars represent mean +/- S.D.,Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,rate,DIG-b269f689-rate,4,table,Table 1,7,replace,figure,Fig. 1,5,"Fig. 1. Regeneration and growth rates of inflicted injuries on fragments of the corals P. lutea and P. cylindrica under light intensity 30-70% PAR0 during winter, spring and summer periods. File, osmotic shock, cement, and Water-Pik injuries are compared; error bars represent mean +/- S.D.; inserts summarize statistical comparisons among recovery periods.","Original Table 1 is a real printed algal/animal cover table, but it does not report coral regeneration rate; Fig. 1 is the better rate candidate.",false,local_pdf_pdftotext_layout_page_match
b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,rate,DIG-b269f689-rate,5,table,Table 2,8,replace,figure,Fig. 1,5,"Fig. 1. Regeneration and growth rates of inflicted injuries on fragments of the corals P. lutea and P. cylindrica under light intensity 30-70% PAR0 during winter, spring and summer periods. File, osmotic shock, cement, and Water-Pik injuries are compared; error bars represent mean +/- S.D.; inserts summarize statistical comparisons among recovery periods.","Original Table 2 is a real printed species-list table, but it is not a coral rate response; Fig. 1 is the better rate candidate.",false,local_pdf_pdftotext_layout_page_match
9c887b4c-dae5-4725-96db-948c2491e53d,Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,rate,DIG-9c887b4c-rate,1,table,Table 2,7,replace,figure,Fig. 2,5,"Fig. 2. Growth rate and regeneration of lesions on fragments of the corals Porites lutea and Porites cylindrica inflicted with different injury types and maintained in aquaria under moderate light intensity during two winter months. Means +/- SD, n = 8.",Original Table 2 entry is only a continued species-list table and is not a rate response; Fig. 2 reports growth and lesion-regeneration rates.,false,local_pdf_pdftotext_layout_page_match
9c887b4c-dae5-4725-96db-948c2491e53d,Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,rate,DIG-9c887b4c-rate,2,figure,Fig. 1,3,replace,figure,Fig. 2,5,"Fig. 2. Growth rate and regeneration of lesions on fragments of the corals Porites lutea and Porites cylindrica inflicted with different injury types and maintained in aquaria under moderate light intensity during two winter months. Means +/- SD, n = 8.",Original Fig. 1 is a real printed injury-type/photo caption but not the quantitative rate panel; Fig. 2 is the better rate candidate.,false,local_pdf_pdftotext_layout_page_match
9c887b4c-dae5-4725-96db-948c2491e53d,Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,rate,DIG-9c887b4c-rate,3,figure,Fig. 2,5,keep,figure,Fig. 2,5,"Fig. 2. Growth rate and regeneration of lesions on fragments of the corals Porites lutea and Porites cylindrica inflicted with different injury types and maintained in aquaria under moderate light intensity during two winter months. Means +/- SD, n = 8.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
9c887b4c-dae5-4725-96db-948c2491e53d,Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,rate,DIG-9c887b4c-rate,4,figure,Fig. 3,8,keep,figure,Fig. 3,8,"Fig. 3. Regeneration rate of Water-Pik injury at the different positions on the fragments of Porites lutea maintained in aquaria at 30% PAR0 during the winter and spring periods. Means +/- SD, n = 5.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
9c887b4c-dae5-4725-96db-948c2491e53d,Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,rate,DIG-9c887b4c-rate,5,figure,Fig. 4,8,keep,figure,Fig. 4,8,"Fig. 4. Regeneration rate of Water-Pik injury at the different position of lesions on the fragments of Porites lutea maintained in aquaria at different irradiance levels during the experiment from May 10, 2003 to July 10, 2003. Means +/- SD, n = 5.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,rate,DIG-347f789a-rate,1,figure,Fig. 1,4,keep,figure,Fig. 1,4,"Fig. 1. Sample images of lesion generation and recovery on an O. franksi individual and an A. lamarcki individual through time, including lesion boundaries used for determining tissue regeneration rate and lesion closure rate and polygons used for pigmentation recovery measurements.","Printed caption label and page verified; figure documents lesion recovery measurements used to calculate TRR, LCR, and pigmentation recovery.",false,local_pdf_pdftotext_layout_page_match
347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,rate,DIG-347f789a-rate,2,figure,Fig. 2,7,keep,figure,Fig. 2,7,"Fig. 2. Tissue regeneration rates, lesion closure rates, and pigmentation recovery rates for O. franksi individuals and A. lamarcki individuals. Points indicate actual values and lines indicate best-fit regression modeling outputs.",Printed caption label and page verified by local pdftotext; caption is relevant to the row response_type.,false,local_pdf_pdftotext_layout_page_match
