source_id,paper_title,response_type,queue_id,original_candidate_rank,original_candidate_type,original_candidate_label,original_candidate_page,audit_status,corrected_candidate_type,corrected_candidate_label,corrected_candidate_page,corrected_candidate_text,reason,needs_manual_visual_review,evidence_method
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,growth,DIG-d4f87f68-growth,1,mention,Fig. 3,10,replace,figure,Fig. 3A,12,Figure 3A. Coral skeletal growth rate by wound size and fish presence; panel A shows growth rate with points and treatment means plus 95% confidence intervals.,The original candidate is the caption page; the plotted growth panel appears on rendered PDF page 12. The caption labels panel A as growth rate.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,growth,DIG-d4f87f68-growth,2,mention,Fig. 1,4,replace,figure,Fig. 3A,12,Figure 3A. Coral skeletal growth rate by wound size and fish presence; panel A shows growth rate with points and treatment means plus 95% confidence intervals.,The original candidate is an in-text reference to daily photography and Figure 1 is a photographic healing time series rather than the growth-rate plot; the plotted growth panel is Figure 3A on rendered PDF page 12.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,growth,DIG-d4f87f68-growth,3,mention,Fig. 2,5,replace,figure,Fig. 3A,12,Figure 3A. Coral skeletal growth rate by wound size and fish presence; panel A shows growth rate with points and treatment means plus 95% confidence intervals.,The original candidate is an in-text wound-healing-rate reference; Figure 2 is the rate response, not the growth response. The plotted growth panel is Figure 3A on rendered PDF page 12.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,growth,DIG-d4f87f68-growth,4,mention,Fig. 3A,5,replace,figure,Fig. 3A,12,Figure 3A. Coral skeletal growth rate by wound size and fish presence; panel A shows growth rate with points and treatment means plus 95% confidence intervals.,The original candidate is an in-text mention on page 5; the actual plotted growth panel appears on rendered PDF page 12. Caption and figure image identify panel A as growth.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,growth,DIG-d4f87f68-growth,5,mention,Fig. 3B,5,replace,figure,Fig. 3A,12,Figure 3A. Coral skeletal growth rate by wound size and fish presence; panel A shows growth rate with points and treatment means plus 95% confidence intervals.,The original candidate is an in-text mention that appears to conflict with the printed figure/caption; rendered PDF page 12 and the caption identify panel A as growth and panel B as photosynthetic efficiency.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,rate,DIG-d4f87f68-rate,1,mention,Fig. 1,10,replace,figure,Fig. 2,11,Figure 2. Wound healing rate in Pocillopora fragments as a function of wound size and fish presence; points show coral fragments and large symbols show treatment means with 95% confidence intervals.,Figure 1 is a photographic time series and is not the quantitative healing-rate plot. The plotted rate response is Figure 2 on rendered PDF page 11.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,rate,DIG-d4f87f68-rate,2,mention,Fig. 2,5,replace,figure,Fig. 2,11,Figure 2. Wound healing rate in Pocillopora fragments as a function of wound size and fish presence; points show coral fragments and large symbols show treatment means with 95% confidence intervals.,The original candidate is an in-text reference on page 5; the actual plotted healing-rate figure appears on rendered PDF page 11.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,rate,DIG-d4f87f68-rate,3,mention,Fig. 2,10,replace,figure,Fig. 2,11,Figure 2. Wound healing rate in Pocillopora fragments as a function of wound size and fish presence; points show coral fragments and large symbols show treatment means with 95% confidence intervals.,The original candidate is the caption page; the plotted healing-rate figure appears on rendered PDF page 11.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,rate,DIG-d4f87f68-rate,4,mention,Fig. 3,10,replace,figure,Fig. 2,11,Figure 2. Wound healing rate in Pocillopora fragments as a function of wound size and fish presence; points show coral fragments and large symbols show treatment means with 95% confidence intervals.,Figure 3 reports growth and photosynthetic efficiency, not wound-healing rate. The plotted rate response is Figure 2 on rendered PDF page 11.,false,pdftotext -layout plus rendered PDF pages 10-12
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,rate,DIG-d4f87f68-rate,5,mention,Fig. 3A,5,replace,figure,Fig. 2,11,Figure 2. Wound healing rate in Pocillopora fragments as a function of wound size and fish presence; points show coral fragments and large symbols show treatment means with 95% confidence intervals.,The original candidate is an in-text Figure 3A reference to photosynthetic efficiency; Figure 3 is not the wound-healing-rate plot. The plotted rate response is Figure 2 on rendered PDF page 11.,false,pdftotext -layout plus rendered PDF pages 10-12
