source_id,paper_title,response_type,queue_id,original_candidate_rank,original_candidate_type,original_candidate_label,original_candidate_page,audit_status,corrected_candidate_type,corrected_candidate_label,corrected_candidate_page,corrected_candidate_text,reason,needs_manual_visual_review,evidence_method,audit_file,audit_key_status,coverage_status
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,DIG-dde85c3e-growth,1,figure,Fig. 5,5,replace,figure,Fig. 3,4,"Fig. 3. Acropora palmata. Growth rates of branches. Horizontal bar of each data point denotes experimental period. Vertical bars show SD. Growth of controls: closed circles. Growth of neoplasia branches: open circles, indicating branches with neoplasia closer (<) and farther (>) than 25 cm from tip of branch. Growth of branches with tissue lesions: open squares, and tissue+skeleton lesions: closed squares.","Original Fig. 5 caption is real, but it reports lesion recovery rate rather than branch growth; Fig. 3 is the printed branch growth-rate caption.",false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,DIG-dde85c3e-growth,2,figure,Fig. 3,4,keep,figure,Fig. 3,4,"Fig. 3. Acropora palmata. Growth rates of branches. Horizontal bar of each data point denotes experimental period. Vertical bars show SD. Growth of controls: closed circles. Growth of neoplasia branches: open circles, indicating branches with neoplasia closer (<) and farther (>) than 25 cm from tip of branch. Growth of branches with tissue lesions: open squares, and tissue+skeleton lesions: closed squares.",Printed caption on stated page and directly relevant to branch growth.,false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,DIG-dde85c3e-growth,3,figure,Fig. 1,2,replace,figure,Fig. 3,4,"Fig. 3. Acropora palmata. Growth rates of branches. Horizontal bar of each data point denotes experimental period. Vertical bars show SD. Growth of controls: closed circles. Growth of neoplasia branches: open circles, indicating branches with neoplasia closer (<) and farther (>) than 25 cm from tip of branch. Growth of branches with tissue lesions: open squares, and tissue+skeleton lesions: closed squares.","Original Fig. 1 is a neoplasia morphology plate, not a growth response candidate; Fig. 3 is the growth caption.",false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",growth,DIG-dde85c3e-growth,4,figure,Fig. 4,4,replace,figure,Fig. 3,4,"Fig. 3. Acropora palmata. Growth rates of branches. Horizontal bar of each data point denotes experimental period. Vertical bars show SD. Growth of controls: closed circles. Growth of neoplasia branches: open circles, indicating branches with neoplasia closer (<) and farther (>) than 25 cm from tip of branch. Growth of branches with tissue lesions: open squares, and tissue+skeleton lesions: closed squares.","Original Fig. 4 reports regeneration completion rates, not branch growth; Fig. 3 is the growth caption.",false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,DIG-dde85c3e-rate,1,figure,Fig. 5,5,keep,figure,Fig. 5,5,"Fig. 5. Acropora palmata. Surface area of lesions over time showing recovery rate. Tissue lesions: closed circles, tissue+skeleton lesions: open circles.",Printed caption on stated page and directly reports lesion surface area over time/recovery rate.,false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,DIG-dde85c3e-rate,2,figure,Fig. 4,4,keep,figure,Fig. 4,4,"Fig. 4. Rates of regeneration of tissue lesions (t, dashed lines) and tissue+skeleton lesions (ts, solid lines) expressed as percentage of lesions completely recovered. Coral species and depth of experimental colonies; Ap: Acropora palmata 2 m; Pa: Porites astreoides 10 m and 23 m; Ma: Montastrea annularis 10 m; Aa: Agaricia agaricites 10 m and 25 m.",Printed caption on stated page and reports regeneration rates as percentage of lesions completely recovered.,false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,DIG-dde85c3e-rate,3,figure,Fig. 1,2,replace,figure,Fig. 5,5,"Fig. 5. Acropora palmata. Surface area of lesions over time showing recovery rate. Tissue lesions: closed circles, tissue+skeleton lesions: open circles.","Original Fig. 1 is morphology, not rate data; Fig. 5 is the best printed recovery-rate caption.",false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",rate,DIG-dde85c3e-rate,4,figure,Fig. 3,4,replace,figure,Fig. 5,5,"Fig. 5. Acropora palmata. Surface area of lesions over time showing recovery rate. Tissue lesions: closed circles, tissue+skeleton lesions: open circles.","Original Fig. 3 is branch growth rate, not lesion regeneration rate; Fig. 5 is the best recovery-rate caption.",false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate,DIG-12e9e864-rate,1,figure,Figure I,2,keep,figure,Figure I,2,"Figure I. (Left) Rates of regeneration of the two coral species expressed as percentage of lesions completely recovered. Open circles, Agaricia agaricites 1 cm2 tissue lesions; closed circles, A. agaricites 1 cm2 tissue and skeleton lesions; open squares, Porites astreoides 1 cm2 tissue lesions; closed squares, P. astreoides 1 cm2 tissue and skeleton lesions. Figure 2. (Right) Regeneration in A. agaricites expressed as mean surface area of all lesions.",Printed caption on stated page and directly reports regeneration rates.,false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,rate,DIG-12e9e864-rate,2,figure,Figure 3,3,keep,figure,Figure 3,3,Figure 3. (Left) Regeneration in Porites astreoides expressed as mean surface area of all lesions. Figure 4. (Right) Regeneration expressed as percentage of lesions regenerating >75% of surface area. After about 70 days the number of lesions re-covering for 75% does not increase.,Printed caption on stated page and reports regeneration surface area / percent regenerated.,false,pdftotext -layout caption match,digitization/source_review/agent_audits/figure_candidate_audit_agent1.csv,valid_status,matched_base_candidate
